model,display_name,family,checkpoint,n_transcripts,n_sources,low_transcripts,source_balanced_balanced_accuracy,source_balanced_low_auprc,source_balanced_macro_f1,source_balanced_brier,source_balanced_log_loss,equal_frequency_ece_10
a_only,A-only neural,single_task,t3,133,119,23,0.5,0.1996687109,0.4490740741,0.1573316933,0.504313598,0.09636683903
a_only,A-only neural,single_task,t5,130,117,21,0.5,0.2163124864,0.4519906323,0.1487226306,0.4718405878,0.137825026
a_only,A-only neural,single_task,t10,115,108,18,0.65,0.4920958923,0.6602086438,0.1335357951,0.4166560127,0.1342667237
a_only,A-only neural,single_task,t20,77,73,5,0.6080882353,0.2915827338,0.5412992804,0.1363982709,0.4134303392,0.1947099056
a_only,A-only neural,single_task,full,133,119,23,0.6044985942,0.3707679088,0.6026482441,0.1601089009,0.4735386863,0.1214013119
class_prior,Class prior,classical,t3,133,119,23,0.5,0.1491621303,0.4490740741,0.1535344324,0.4883489643,0.09001822146
class_prior,Class prior,classical,t5,130,117,21,0.5,0.1386698437,0.4519906323,0.1479872303,0.4763203364,0.07694837914
class_prior,Class prior,classical,t10,115,108,18,0.5,0.125902769,0.4545454545,0.1444422613,0.4714580666,0.106068071
class_prior,Class prior,classical,t20,77,73,5,0.5,0.05151383587,0.4822695035,0.06603681101,0.2676576306,0.07993266627
class_prior,Class prior,classical,full,133,119,23,0.5,0.1491621303,0.4490740741,0.1535344324,0.4883489643,0.09001822146
joint_no_transition,"Joint, no transition",joint,t3,133,119,23,0.6193767573,0.3643211162,0.6397058824,0.1560326725,0.4908100858,0.1137323088
joint_no_transition,"Joint, no transition",joint,t5,130,117,21,0.6292809301,0.3831312154,0.6430269273,0.1595546434,0.507853131,0.1585916647
joint_no_transition,"Joint, no transition",joint,t10,115,108,18,0.6611111111,0.5362252533,0.6575569983,0.1304245927,0.4275445071,0.1396615656
joint_no_transition,"Joint, no transition",joint,t20,77,73,5,0.4485294118,0.08106452735,0.4552238806,0.120446768,0.4099224285,0.1508155139
joint_no_transition,"Joint, no transition",joint,full,133,119,23,0.6699859419,0.5970296629,0.6985221675,0.1175969299,0.5130370173,0.07455988992
oracle_gold_codes,Gold-code oracle,oracle,t3,133,119,23,0.5848016245,0.3156902425,0.5175703566,0.2396979024,0.6680932879,0.2533482615
oracle_gold_codes,Gold-code oracle,oracle,t5,130,117,21,0.6893719196,0.5223895822,0.6230455795,0.1872872966,0.5488516809,0.2161997857
oracle_gold_codes,Gold-code oracle,oracle,t10,115,108,18,0.7435185185,0.6407034815,0.6693436991,0.1474342699,0.4530736674,0.1994805953
oracle_gold_codes,Gold-code oracle,oracle,t20,77,73,5,0.5553921569,0.09414986705,0.480027933,0.1959059088,0.6421701121,0.2834388089
oracle_gold_codes,Gold-code oracle,oracle,full,133,119,23,0.8099031553,0.8063376942,0.7619433198,0.1109537831,0.3723411065,0.1524855449
qtrace_mi,Q-TRACE-MI,candidate,t3,133,119,23,0.6018041237,0.4471710075,0.6209041262,0.1449313622,0.4648998527,0.1084002163
qtrace_mi,Q-TRACE-MI,candidate,t5,130,117,21,0.646973335,0.4287823373,0.6399674179,0.1556944006,0.4928775427,0.1590590903
qtrace_mi,Q-TRACE-MI,candidate,t10,115,108,18,0.7,0.627649004,0.6748768473,0.1452811965,0.4675871529,0.1822933725
qtrace_mi,Q-TRACE-MI,candidate,t20,77,73,5,0.5264705882,0.1744744197,0.5086538462,0.1227962868,0.4989070847,0.1905078626
qtrace_mi,Q-TRACE-MI,candidate,full,133,119,23,0.7186035614,0.6250748071,0.7166913451,0.1252815151,0.5737105894,0.1191802011
structure_only,Structure only,classical,t3,133,119,23,0.529600125,0.2737253718,0.4655910201,0.2483108416,0.6846769624,0.297442193
structure_only,Structure only,classical,t5,130,117,21,0.5611441089,0.3312664851,0.4939569544,0.2379963313,0.6681127007,0.3000578195
structure_only,Structure only,classical,t10,115,108,18,0.6259259259,0.2775432859,0.5324779115,0.2520033799,0.7028417257,0.330870693
structure_only,Structure only,classical,t20,77,73,5,0.6039215686,0.09411507375,0.4577959466,0.2328072266,0.6522848513,0.3315323694
structure_only,Structure only,classical,full,133,119,23,0.7165573258,0.4531435213,0.6397811174,0.2191198428,0.7060772259,0.299796948
tfidf_raw_prefix,TF-IDF prefix,classical,t3,133,119,23,0.5134957826,0.2841152386,0.5031837796,0.1847731222,0.5581993419,0.2108862482
tfidf_raw_prefix,TF-IDF prefix,classical,t5,130,117,21,0.5923796285,0.5007086921,0.6148963182,0.1694958549,0.5259706591,0.2194162744
tfidf_raw_prefix,TF-IDF prefix,classical,t10,115,108,18,0.5555555556,0.4586556331,0.5591836735,0.1664351177,0.5198813077,0.2014082551
tfidf_raw_prefix,TF-IDF prefix,classical,t20,77,73,5,0.4926470588,0.1159604139,0.4785714286,0.09936749632,0.3664635525,0.1869690134
tfidf_raw_prefix,TF-IDF prefix,classical,full,133,119,23,0.6224226804,0.7092341886,0.655952381,0.1531303727,0.4897574454,0.2355830451
